citekey,evidence_domain,design,geography,decision_use,key_support,important_limit,doi_or_identifier,metadata_verification,redistribution,local_file
Lovelace2017,"scenario demand; planning tool","method and national application","England","PCT lineage and distance-hilliness scenarios","OD-based scenario tool links cycling propensity to distance and hilliness and supports route/area outputs","Scenarios are not predictions; English commute context requires local caution","10.5198/jtlu.2016.862","publisher DOI and Cambridge repository checked 2026-08-16","CC BY-NC 3.0 published copy","open/lovelace-et-al-2017-pct.pdf"
PCTManual2020,"scenario demand","technical manual","England and Wales","equation and coefficient verification","Documents commuting-layer functional form and scenario implementation","Manual conventions remain PCT-specific and need version control","PCT manual C1 v1.4r","official PCT manual checked 2026-08-16","linked only",""
StatsNZ2024Confidentiality,"confidentiality; censored demand","official statistical method","Aotearoa New Zealand","interpretation of suppressed and fixed-random-rounded census counts","Sensitive tables suppress counts below six; every remaining count is fixed-random-rounded to base three and differs from the source count by no more than two; the rule must be applied to each disclosure-controlled count field","The released counts do not identify confidential source values; table sensitivity and both total-stated and bicycle marker states must be preserved, while bicycle-not-greater-than-total is an additional joint modelling constraint","Stats NZ 2024; ISBN 978-1-99-104974-2","official Stats NZ PDF checked 2026-08-20","official link only; product copyright terms control",""
Goodman2019,"school demand; health; carbon","national scenario modelling","England","school-access extension and impact lineage","Shows purpose-specific PCT adaptation and associated health/carbon modelling","School trip model and UK context do not calibrate Auckland commuting","10.1016/j.jth.2019.01.008","published PDF and DOI checked 2026-08-16","CC BY 4.0","open/goodman-et-al-2019-school-pct.pdf"
Woodcock2021,"health; carbon; distribution","individual-level scenario modelling","England and Wales","benefit and distributional caveats","Demonstrates demographic variation in cycling potential and benefits and warns appraisal can conflict with equity","Individual-level UK microsimulation differs from aggregate Auckland screening","10.1016/j.jth.2021.101066","published PDF and DOI checked 2026-08-16","CC BY 4.0","open/woodcock-et-al-2021-pct-impacts.pdf"
Woodcock2018,"health impact tool; scenario design","travel-survey modelling and web tool","England","impact-tool precedent and structural uncertainty","Provides generalisable scenario and impact modelling architecture with subgroup outputs","Many assumptions and omitted injury/air/noise pathways; not an Auckland appraisal","10.1371/journal.pmed.1002622","PLOS article and DOI checked 2026-08-16","CC BY 4.0","open/woodcock-et-al-2018-ict.pdf"
Mekuria2012,"traffic stress; connectivity","technical report and network method","United States case studies","LTS framework and low-stress connectivity lineage","Establishes four-level traffic stress and connectivity concepts","Thresholds reflect US design context and are not automatically Auckland-calibrated","MTI Report 11-19","official ROSAP record checked 2026-08-16","link only; redistribution licence unclear",""
Lowry2012,"bikeability; network access","network indicator method","United States","network-level assessment lineage","Combines bicycle level of service and accessibility at community scale","Different destinations and index definition prevent direct score comparison","10.3141/2314-06","publisher DOI checked 2026-08-16","citation only",""
Furth2016,"low-stress connectivity","network analysis","United States","connectivity definition and barriers","Formalises low-stress network connectivity and acceptable trip access","City scores depend on destinations grids weights and thresholds","10.3141/2587-06","publisher DOI checked 2026-08-16","citation only",""
Lowry2016,"facility prioritisation; connectivity","network optimisation application","United States","candidate prioritisation precedent","Prioritises new links by changes in low-stress network connectivity","Objective data and candidate generation differ from this workbench","10.1016/j.tra.2016.02.003","publisher DOI checked 2026-08-16","citation only",""
BuehlerDill2016,"infrastructure and cycling uptake","review","international with North American emphasis","background causal restraint","Synthesises evidence that network and facility context relate to cycling","Heterogeneous designs limit a universal treatment effect","10.1080/01441647.2015.1069908","publisher DOI checked 2026-08-16","citation only",""
Broach2012,"route choice","revealed-preference GPS path-size logit","Portland Oregon","route impedance and plausible paths","Distance slope turns and facility type influence observed cyclist routes","Existing cyclists and local network may not represent potential Auckland riders","10.1016/j.tra.2012.07.005","publisher DOI checked 2026-08-16","citation only",""
Hood2011,"route choice","revealed-preference GPS path-size logit","San Francisco California","route impedance and heterogeneity","Cyclists trade distance slope turns and bicycle facilities differently across groups","Smartphone participant and city context limit transfer","10.3328/TL.2011.03.01.63-75","publisher DOI checked 2026-08-16","citation only",""
Winters2010,"route detour; built environment","observed versus shortest route comparison","Metro Vancouver Canada","detour threshold context","Observed bicycle trips detour toward bicycle facilities and traffic calming","Small sample and local context do not identify a universal detour cap","10.3141/2190-01","publisher DOI checked 2026-08-16","citation only",""
Yen1971,"route set generation","network algorithm","general","loopless plausible-path enumeration","Defines an algorithm for obtaining the K shortest loopless paths between two network nodes","Computational correctness does not establish that the generated set represents travellers' perceived choices","10.1287/mnsc.17.11.712","INFORMS DOI record checked 2026-08-16","citation only",""
BenAkivaBierlaire1999,"route choice; overlapping alternatives","transportation discrete-choice methods","general","path-size-logit lineage","Provides discrete-choice and route-choice foundations for correcting overlap among path alternatives","Choice-set and utility parameters remain conditional and require empirical calibration","10.1007/978-1-4615-5203-1_2","Springer DOI record checked 2026-08-16","citation only",""
Mahfouz2023,"segment prioritisation; equity","network modelling and case application","Manchester United Kingdom","multi-objective and spatial prioritisation precedent","Combines distance decay routing safety and equity objectives for network planning","Candidate logic and evidence are context-specific; accepted copy is no-derivatives","10.1016/j.jtrangeo.2023.103715","repository PDF and DOI checked 2026-08-16","CC BY-NC-ND 4.0 accepted manuscript","open/mahfouz-et-al-2023-prioritisation.pdf"
Liu2019,"network design; route equilibrium","mathematical optimisation","synthetic and case networks","advanced network-design benchmark","Models bicycle network design with path-size logit equilibrium and global/matheuristic solution","Data intensity and equilibrium assumptions exceed current screening implementation","10.1016/j.tre.2019.05.010","publisher DOI checked 2026-08-16","citation only",""
