asset_id,asset_kind,configured_source_ids,proposed_public_use,decision,export_action,source_url,source_url_status,license_name,license_url,required_attribution,snapshot_or_vintage,rights_evidence_url,verified_utc,conditions_or_blocker
stats_nz_journey_to_work,configured_source,stats_nz_journey_to_work,Commute demand,permit,include,https://datafinder.stats.govt.nz/table/121988-2023-census-main-means-of-travel-to-work-by-statistical-area-2/,exact_table_page_version_and_local_hash,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,This work includes Stats NZ data licensed for reuse under CC BY 4.0; table 121988 version 410594 published 2025-03-30,2023 Census; API table 121988 version 410594; local SHA-256 e7e52537a33167add084d504dcd9e0f7f37dd00302fac9be5fd7998b3f107192,https://www.stats.govt.nz/about-us/copyright/,2026-08-20T00:00:00Z,Retain product metadata that rows with total population below six are removed and only records with workplace address available at SA2 are included; never interpret absent pairs as zero
stats_nz_sa2_transport_margins,configured_source,stats_nz_sa2_transport_margins,Confidentiality margins,permit,include,https://services2.arcgis.com/vKb0s8tBIA3bdocZ/ArcGIS/rest/services/2023_Census_totals_by_topic_for_individuals_by_SA2/FeatureServer/3,exact_service_layer,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,This work includes Stats NZ data licensed for reuse under CC BY 4.0,2023 Census; service item modified 2025-12-04; local SHA-256 1fdf3aa304c77c31856d97e56095ca50f44c2273f47cd7b6b3df78bf023a159d,https://www.arcgis.com/home/item.html?id=29a82d5a0ea24a3880219bcb3df126dc,2026-08-20T00:00:00Z,Preserve confidentiality notes and indicate transformations
stats_nz_sa1_geography,configured_source,stats_nz_sa1_geography,Small-area geometry and population weight,permit,include,https://services2.arcgis.com/vKb0s8tBIA3bdocZ/ArcGIS/rest/services/2023_Census_totals_by_topic_for_individuals_by_SA1/FeatureServer/1,exact_publisher_service_layer,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,This work includes Stats NZ data licensed for reuse under CC BY 4.0,33164 national features; SHA-256 6b0fca1c162d38505a147b0a0971571da55fb138d98df473125a29ac6b4c5d75,https://www.arcgis.com/home/item.html?id=407355b6bd46494498cd760787178ab3,2026-09-01T00:00:00Z,Only SA12023_V1_00 and VAR_1_3 with geometry are retained; Auckland scope uses the separate official boundary
stats_nz_sa2_geography,configured_source,stats_nz_sa2_geography,SA2 geometry and spatial join,permit,include,https://services2.arcgis.com/vKb0s8tBIA3bdocZ/ArcGIS/rest/services/Statistical_Area_2_2023/FeatureServer/0,exact_publisher_service_layer,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,This work includes Stats NZ data licensed for reuse under CC BY 4.0,2395 national features; SHA-256 e465fab4a15677b5d0d1964035db46e878b778f34350d0d73e75b5d01b220318,https://www.arcgis.com/home/item.html?id=a5166616764c4499a42d1f45627d69b0,2026-09-01T00:00:00Z,Only SA22023_V1_00 and SA22023_V1_00_NAME with geometry are retained
stats_nz_auckland_boundary,configured_source,stats_nz_auckland_boundary,Auckland analysis boundary,permit,include,https://services2.arcgis.com/vKb0s8tBIA3bdocZ/ArcGIS/rest/services/Territorial_Authority_2023/FeatureServer/0,exact_publisher_service_layer_and_filter,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,This work includes Stats NZ data licensed for reuse under CC BY 4.0,TA2023_V1_00 076 Auckland; SHA-256 8ae6305c398a60e15bf57bac24b4f87d4f9a325cd29ebcfeef767e87fd066cf1,https://www.arcgis.com/home/item.html?id=82b6052534854a8abe3870a08d497d3f,2026-09-01T00:00:00Z,Exact filtered response retained
nzdep2023_sa1,configured_source,nzdep2023_sa1,Area-deprivation subgroup context,permit,include,https://services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/2023_Census_by_SA1/FeatureServer/19,exact_public_service_snapshot,Derived aggregate metrics only,https://www.arcgis.com/home/item.html?id=625e98f1cb254920baa2266f26df1ca5,University of Otago NZDep2023; Stats NZ; Eagle Technology public ArcGIS service,10355 Auckland SA1 features; source SHA-256 de7ddb509f56931447a448fac5283cd404285d8e27edc65c009fbd7b466c1dc2,https://www.arcgis.com/home/item.html?id=625e98f1cb254920baa2266f26df1ca5,2026-09-01T00:00:00Z,Public output contains only aggregate decile-8-to-10-origin objectives and no raw NZDep polygons
educationcounts_schools_auckland,configured_source,educationcounts_schools_auckland,School opportunity weights,permit,include,https://catalogue.data.govt.nz/dataset/c1923d33-e781-46c9-9ea1-d9b850082be4/resource/4b292323-9fcc-41f8-814b-3c7b19cf14b3,exact_rolling_resource,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Ministry of Education / Education Counts,573 records; roll snapshot 2026-07-01; resource modified 2026-08-19T19:45:27Z; SHA-256 6e8f1b1799a9997b64fea8c8721368730cf1f5aeed7db1e889b2b29ed4689330,https://catalogue.data.govt.nz/api/3/action/package_show?id=c1923d33-e781-46c9-9ea1-d9b850082be4,2026-09-01T00:00:00Z,Retain only institution ID name type location status roll date and total; exclude telephone email postal address URL and named contacts; include open schools only and retain the snapshot date
stats_nz_business_demography_sa2_2024,configured_source,stats_nz_business_demography_sa2_2024,Employment destination weights,permit,include,https://services2.arcgis.com/vKb0s8tBIA3bdocZ/ArcGIS/rest/services/2024_Business_Demography_business_count_by_SA2/FeatureServer/0,exact_service_layer,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,This work includes Stats NZ data licensed for reuse under CC BY 4.0,February 2024; service item modified 2024-10-22; 2301 records; SHA-256 0528d2e70b41771ccbed8aaf3ae6fb021456024e2ee68fea49188c32209c02be,https://www.arcgis.com/home/item.html?id=3054967a7dfc4894a58a153e06310677,2026-09-01T00:00:00Z,Exact filtered response retained
geofabrik_new_zealand_osm,configured_source,geofabrik_new_zealand_osm,Routable network,permit,include,https://download.geofabrik.de/australia-oceania/new-zealand-latest.osm.pbf,rolling_url_exact_hash_and_replication_state,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1-0/,© OpenStreetMap contributors; data available under ODbL 1.0,replication timestamp 2026-05-03T20:21:30Z; sequence 4773; SHA-256 278d4a4e71c7903bfb17ba5cf9587b197b39a0317b25f8bba6260f527b576cb6,https://www.openstreetmap.org/copyright,2026-08-20T00:00:00Z,Meet attribution and ODbL database or reconstruction-offer obligations; do not treat map tiles as included with the data licence
auckland_transport_cycle_network,configured_source,auckland_transport_cycle_network,Facility evidence,permit,include,https://services2.arcgis.com/JkPEgZJGxhSjYOo0/arcgis/rest/services/CyclingService/FeatureServer/0,exact_service_layer,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Auckland Transport,2166 features; service item modified 2026-07-08; SHA-256 af33d930bb3d31831680043e7527eb7b3bd8ea8d87a45f3ce447d5470375a301,https://www.arcgis.com/home/item.html?id=75bbb3afce054ee9a2826fd89c18e4bf,2026-09-01T00:00:00Z,Exact filtered response retained
