citekey,title,doi_or_identifier,publisher_url,reason_not_bundled,lawful_access_route
PCTManual2020,"PCT Methodology: Commuting Layer","PCT manual C1 v1.4r","https://npct.github.io/pct-shiny/regions_www/www/static/03a_manual/pct-bike-eng-user-manual-c1.pdf","Official public manual; standalone redistribution terms not confirmed","Use official PCT link"
StatsNZ2024Confidentiality,"Applying Confidentiality Rules to 2023 Census Data and Summary of Changes since 2018 and 2013 Censuses","Stats NZ 2024; ISBN 978-1-99-104974-2","https://www.stats.govt.nz/assets/Methods/2023-Census-methods/Applying-confidentiality-rules-to-2023-Census-data-and-summary-of-changes-since-2018-and-2013-Censuses/applying-confidentiality-rules-to-2023-census-data-and-summary-of-changes-since-2018-and-2013-censuses.pdf","Official public PDF; product redistribution terms not recorded for a bundled copy","Use official Stats NZ link"
Mekuria2012,"Low-Stress Bicycling and Network Connectivity","MTI Report 11-19","https://rosap.ntl.bts.gov/view/dot/24453","Publicly downloadable report but no explicit blanket redistribution licence confirmed","Use official ROSAP record"
Lowry2012,"Assessment of Communitywide Bikeability with Bicycle Level of Service","10.3141/2314-06","https://doi.org/10.3141/2314-06","Publisher copyright; no redistributable repository copy verified","Institutional library or publisher"
Furth2016,"Network Connectivity for Low-Stress Bicycling","10.3141/2587-06","https://doi.org/10.3141/2587-06","Publisher copyright; no redistributable repository copy verified","Institutional library or publisher"
Lowry2016,"Prioritizing new bicycle facilities to improve low-stress network connectivity","10.1016/j.tra.2016.02.003","https://doi.org/10.1016/j.tra.2016.02.003","Publisher copyright; no redistributable repository copy verified","Institutional library or publisher"
BuehlerDill2016,"Bikeway Networks: A Review of Effects on Cycling","10.1080/01441647.2015.1069908","https://doi.org/10.1080/01441647.2015.1069908","Publisher copyright; no redistributable repository copy verified","Institutional library or publisher"
Broach2012,"Where do cyclists ride? A route choice model developed with revealed preference GPS data","10.1016/j.tra.2012.07.005","https://doi.org/10.1016/j.tra.2012.07.005","Publisher copyright; no redistributable repository copy verified","Institutional library or author repository"
Hood2011,"A GPS-based bicycle route choice model for San Francisco, California","10.3328/TL.2011.03.01.63-75","https://doi.org/10.3328/TL.2011.03.01.63-75","Publisher copyright; no redistributable repository copy verified","Institutional library or author copy"
Winters2010,"How Far Out of the Way Will We Travel? Built Environment Influences on Route Selection for Bicycle and Car Travel","10.3141/2190-01","https://doi.org/10.3141/2190-01","Publisher copyright; no redistributable repository copy verified","Institutional library or publisher"
Yen1971,"Finding the K Shortest Loopless Paths in a Network","10.1287/mnsc.17.11.712","https://doi.org/10.1287/mnsc.17.11.712","Publisher copyright; no redistributable repository copy verified","Institutional library or publisher"
BenAkivaBierlaire1999,"Discrete Choice Methods and their Applications to Short Term Travel Decisions","10.1007/978-1-4615-5203-1_2","https://doi.org/10.1007/978-1-4615-5203-1_2","Subscription chapter; no redistributable repository copy verified","Institutional library or publisher"
Liu2019,"Bike network design problem with a path-size logit-based equilibrium constraint: Formulation, global optimization, and matheuristic","10.1016/j.tre.2019.05.010","https://doi.org/10.1016/j.tre.2019.05.010","Publisher copyright; no redistributable repository copy verified","Institutional library or publisher"
McKay1979,"A Comparison of Three Methods for Selecting Values of Input Variables in the Analysis of Output from a Computer Code","10.1080/00401706.1979.10489755","https://doi.org/10.1080/00401706.1979.10489755","Publisher copyright; no redistributable repository copy verified","Institutional library or publisher"
Macmillan2014,"The Societal Costs and Benefits of Commuter Bicycling: Simulating the Effects of Specific Policies Using System Dynamics Modeling","10.1289/ehp.1307250","https://doi.org/10.1289/ehp.1307250","Free access does not by itself establish repository redistribution terms for this copy","Publisher or official repository"
Keall2015,"Increasing active travel: results of a quasi-experimental study of an intervention to encourage walking and cycling","10.1136/jech-2015-205466","https://doi.org/10.1136/jech-2015-205466","Publisher copyright; no redistributable repository copy verified","Institutional library or author repository"
Mackie2018,"Te Ara Mua—Future Streets suburban street retrofit: A researcher–community–government co-design process and intervention outcomes","10.1016/j.jth.2018.08.014","https://doi.org/10.1016/j.jth.2018.08.014","Version of record is CC BY-NC-ND 4.0 but no verified local source copy is retained","Use publisher DOI or lawful repository copy"
SmithFu2025,"When Bike Lanes Are Not Enough: The Role of Connected Low-Stress Cycling Infrastructure on Cycle Commuting in Urban Aotearoa New Zealand","10.1016/j.cities.2024.105526","https://doi.org/10.1016/j.cities.2024.105526","Version of record is CC BY 4.0 but no verified local source copy is retained","Use publisher DOI or lawful repository copy"
Russell2021,"Pedalling towards equity: Exploring women's cycling in a New Zealand city","10.1016/j.jtrangeo.2021.102987","https://doi.org/10.1016/j.jtrangeo.2021.102987","No explicit redistributable copy verified","Institutional library or publisher"
Jones2020,"Cycling amongst Māori: Patterns, influences and opportunities","10.1111/nzg.12280","https://doi.org/10.1111/nzg.12280","Publisher copyright; no redistributable repository copy verified","Institutional library or publisher"
Thorne2020,"Cycling projects in low-income communities: Exploring community perceptions of Te Ara Mua – Future Streets","10.1111/nzg.12276","https://doi.org/10.1111/nzg.12276","Publisher copyright; no redistributable repository copy verified","Institutional library or publisher"
Atkinson2024NZDep,"NZDep2023 Index of Socioeconomic Deprivation: Research Report","University of Otago NZDep2023 Research Report 2024","https://www.otago.ac.nz/__data/assets/pdf_file/0026/593135/NZDep2023-Research-Report-31-October-2024.pdf","Official report states CC BY 4.0 but no verified local copy is retained","Use the official University of Otago report link"
MBCM2026,"Monetised Benefits and Costs Manual","MBCM v1.7.5; ISBN 978-1-991311-55-9","https://www.nzta.govt.nz/resources/monetised-benefits-and-costs-manual","Official public manual; external reproduction terms control","Use official NZTA release page"
MBCMUpdate2026,"Updates to the MBCM for May 2026","NZTA General Circular 26/01","https://www.nzta.govt.nz/assets/resources/general-circulars/docs/26-01.pdf","Official public PDF; explicit redistribution terms not recorded","Use official NZTA link"
MBCMDiscount2025,"Update to the NZ Transport Agency Waka Kotahi discount rates used for economic analysis of transport activities","NZTA General Circular 25/01","https://www.nzta.govt.nz/assets/resources/general-circulars/docs/25-01.pdf","Official public PDF; explicit redistribution terms not recorded","Official NZTA link"
ATPBC2022,"Auckland Cycling and Micromobility Programme Business Case: Cycling Demand and Economic Assessment","Auckland Transport CAM-PBC Appendix M","https://at.govt.nz/media/1988943/appendix-m-cycling-demands-and-economic-assessment.pdf","Official public PDF; explicit redistribution terms not recorded","Official Auckland Transport link"
TERP2022,"Transport Emissions Reduction Pathway","Auckland Council TERP 2022","https://ourauckland.aucklandcouncil.govt.nz/news/2022/09/terp-auckland-s-drive-to-drive-less/","Official policy page; no bundled-copy licence required or asserted","Use official Auckland Council link"
FutureConnect2023,"Future Connect 2023: Technical Report 2024-2034","Auckland Transport Future Connect 2023","https://at.govt.nz/media/vykldgu0/fc_methodology_report_2023.pdf","Official public PDF; exact redistribution terms not recorded; PDF footer is marked Draft","Official Auckland Transport link; local gitignored copy SHA-256 190d74ee68f73f90528e465e157737517a08c9a5e3dc6b096d8dd244be05216e"
RLTP2024,"Auckland Regional Land Transport Plan 2024-2034","Final RLTP approved in 2024","https://at.govt.nz/media/pbyl211t/auckland-regional-land-transport-plan-2024-2034.pdf","Official public PDF; exact redistribution terms not recorded","Official Auckland Transport link; local gitignored copy SHA-256 ab3806d8bfb6a9271088b8e0cff91bb691be1073fc73e5d075f1710f294d91e2"
